metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
iteration_duration,1789880721,1398.169365,,,,,,,,,search_traffic,,,,,,,
iterations,1789880721,1.000000,,,,,,,,,search_traffic,,,,,,,
data_sent,1789880721,156.000000,,,,,,,,,search_traffic,,,,,,,
data_received,1789880721,12406.000000,,,,,,,,,search_traffic,,,,,,,
iteration_duration,1789880721,1598.568279,,,,,,,,,search_traffic,,,,,,,
iterations,1789880721,1.000000,,,,,,,,,search_traffic,,,,,,,
http_reqs,1789880721,1.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_duration,1789880721,207.664439,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_blocked,1789880721,0.004854,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_connecting,1789880721,0.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_tls_handshaking,1789880721,0.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_sending,1789880721,0.020462,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_waiting,1789880721,207.568624,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_receiving,1789880721,0.075353,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
http_req_failed,1789880721,0.000000,,,,true,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,200,,,http://54.224.18.26:3000/bookings,,
checks,1789880721,1.000000,booking did not 5xx,,,,,,,,booking_load,,,,,,,
http_reqs,1789880721,1.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,,
http_req_duration,1789880721,203.358765,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,,
http_req_blocked,1789880721,0.014426,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,,
http_req_connecting,1789880721,0.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,,
http_req_tls_handshaking,1789880721,0.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,,
